iter	RMSE
196	2171.699481
197	2171.029621
198	2169.890928
199	2169.269016
200	2168.489483
201	2167.343729
202	2165.592818
203	2165.180374
204	2164.084868
205	2163.098823
206	2162.338902
207	2161.31402
208	2159.369078
209	2158.058145
210	2157.042537
211	2155.882508
212	2155.377574
213	2154.497834
214	2152.747968
215	2152.025864
216	2150.327228
217	2148.84277
218	2147.804006
219	2146.162947
220	2144.788187
221	2143.506203
222	2141.489108
223	2140.290233
224	2138.120146
225	2137.100551
226	2134.694497
227	2133.818904
228	2132.916587
229	2131.67052
230	2131.287549
231	2130.622365
232	2130.050423
233	2129.027474
234	2127.496392
235	2126.778018
236	2125.30053
237	2124.41529
238	2122.5781
239	2122.186073
240	2121.173632
241	2119.129765
242	2116.790951
243	2115.603978
244	2114.090015
245	2113.021236
246	2112.604878
247	2111.277612
248	2110.454743
249	2109.344636
250	2108.027981
251	2107.688635
252	2106.780303
253	2106.232316
254	2105.350467
255	2104.328876
256	2103.922461
257	2103.521846
258	2101.154028
259	2100.41815
260	2099.552265
261	2099.017648
262	2097.960949
263	2096.252935
264	2095.087097
265	2094.353473
266	2093.997384
267	2093.368721
268	2092.302613
269	2091.546057
270	2090.902662
271	2089.76481
272	2088.731816
273	2087.661972
274	2086.273795
275	2085.31221
276	2083.275733
277	2082.33026
278	2081.24078
279	2079.432439
280	2078.628508
281	2078.278149
282	2077.980999
283	2077.392141
284	2076.801468
285	2076.204642
286	2075.671247
287	2075.329213
288	2075.014309
289	2074.681015
290	2072.513059
291	2071.26349
292	2070.342348
293	2070.068144
294	2069.083879
295	2068.752222
296	2068.019192
297	2067.439393
298	2067.014546
299	2066.03246
300	2064.296286
301	2063.353926
302	2061.917349
303	2061.539002
304	2061.084171
305	2060.496774
306	2059.886179
307	2059.038668
308	2058.434157
309	2057.690625
310	2056.964186
311	2056.524676
312	2054.167451
313	2053.732767
314	2053.068503
315	2052.830607
316	2052.240088
317	2051.735438
318	2051.31823
319	2050.622919
320	2049.888146
321	2048.823134
322	2048.118429
323	2044.004439
324	2042.853855
325	2041.869997
326	2040.791065
327	2035.66081
328	2034.846242
329	2034.295158
330	2034.067187
331	2033.292675
332	2032.794365
333	2032.591431
334	2031.806262
335	2031.214357
336	2030.115605
337	2029.460334
338	2029.080203
339	2028.785096
340	2028.37363
341	2022.673655
342	2021.731802
343	2020.72178
344	2020.266383
345	2019.125248
346	2018.181231
347	2016.481672
348	2016.125792
349	2015.666738
350	2015.007658
351	2013.491953
352	2013.225682
353	2012.856745
354	2012.110425
355	2011.073433
356	2010.206343
357	2009.485171
358	2008.83434
359	2008.203605
360	2007.643995
361	2006.40852
362	2005.599372
363	2004.848375
364	2004.404099
365	2003.248524
366	2002.860298
367	2001.778198
368	2001.401779
369	2000.757044
370	2000.314371
371	1999.878909
372	1999.705996
373	1999.39202
374	1998.579789
375	1997.968944
376	1997.654382
377	1997.410326
378	1996.788975
379	1996.325043
380	1994.541461
381	1993.976413
382	1993.499219
383	1993.280535
384	1992.724058
385	1992.525596
386	1991.978407
387	1990.656622
388	1989.842722
389	1989.199603
390	1986.952207
391	1986.393384
392	1985.633329
393	1985.197505
394	1984.844711
395	1984.555976
396	1984.209899
397	1983.663966
398	1983.455112
399	1982.534023
400	1982.157463
401	1981.462458
402	1980.675284
403	1980.359733
404	1980.10199
405	1979.479762
406	1979.053209
407	1978.497855
408	1977.857505
409	1977.411787
410	1975.61252
411	1975.199673
412	1974.700595
413	1973.671906
414	1973.110063
415	1972.298719
416	1971.731326
417	1971.516722
418	1970.878102
419	1970.115726
420	1969.539029
421	1968.882432
422	1967.978169
423	1967.651057
424	1967.407516
425	1966.901696
426	1966.135624
427	1965.818696
428	1965.150091
429	1964.827597
430	1964.491786
431	1964.123617
432	1963.649871
433	1963.048382
434	1962.838263
435	1961.513279
436	1960.887568
437	1960.48079
438	1959.184274
439	1958.319553
440	1958.189002
441	1957.684093
442	1957.444378
443	1957.047651
444	1954.688607
445	1953.118171
446	1952.478673
447	1950.974297
448	1949.674397
449	1948.919702
450	1948.44823
451	1947.963795
452	1947.66065
453	1946.214995
454	1945.563793
455	1945.356608
456	1945.096429
457	1944.747566
458	1944.489089
459	1944.159155
460	1943.555121
461	1943.20392
462	1942.525889
463	1941.990917
464	1941.439984
465	1940.939693
466	1939.91513
467	1939.601723
468	1938.805496
469	1937.736972
470	1937.193588
471	1936.694177
472	1936.414889
473	1935.315761
474	1935.039274
475	1934.822946
476	1934.685614
477	1934.410039
478	1934.160262
479	1933.832262
480	1932.697975
481	1931.430792
482	1931.092942
483	1930.911251
484	1930.522002
485	1929.909615
486	1928.736972
487	1928.073241
488	1927.754927
489	1926.940802
490	1926.712035
491	1926.41165
492	1926.251014
493	1925.628825
494	1925.267204
495	1924.470714
496	1924.265537
497	1923.488781
498	1922.944306
499	1918.12199
500	1917.87017
501	1914.689405
502	1914.459226
503	1914.17516
504	1913.796269
505	1913.544273
506	1912.870917
507	1912.480557
508	1911.829188
509	1911.679028
510	1911.130972
511	1910.605608
512	1910.366114
513	1909.07056
514	1908.449485
515	1907.797032
516	1907.016137
517	1906.636213
518	1906.019357
519	1905.506215
520	1905.286592
521	1905.088771
522	1904.867397
523	1904.682375
524	1904.241989
525	1903.944737
526	1903.528123
527	1902.96719
528	1902.801325
529	1902.241137
530	1901.953578
531	1901.770809
532	1901.051721
533	1900.457284
534	1900.076122
535	1899.250577
536	1898.736002
537	1897.877399
538	1897.010868
539	1896.768069
540	1895.94018
541	1895.757826
542	1895.332504
543	1894.757796
544	1894.552113
545	1894.253154
546	1893.809027
547	1893.334192
548	1893.063064
549	1892.630238
550	1891.996837
551	1891.530164
552	1891.101618
553	1890.450347
554	1889.242483
555	1889.014844
556	1888.735573
557	1887.657759
558	1887.184417
559	1886.791174
560	1886.595411
561	1886.182053
562	1885.936524
563	1885.613518
564	1885.503343
565	1884.931865
566	1884.718406
567	1884.332711
568	1883.885407
569	1883.631723
570	1881.44245
571	1880.821552
572	1880.473732
573	1878.764574
574	1878.162798
575	1878.014246
576	1877.536956
577	1875.336345
578	1873.999727
579	1873.354082
580	1873.04521
581	1872.118032
582	1871.866016
583	1871.547981
584	1871.383166
585	1870.872004
586	1870.730658
587	1870.519319
588	1868.881012
589	1868.523059
590	1868.145246
591	1867.955056
592	1867.74544
593	1866.833162
594	1866.66806
595	1865.352936
596	1865.170096
597	1865.048751
598	1864.848236
599	1864.620656
600	1864.2273
601	1864.091337
602	1863.974303
603	1863.323012
604	1863.102684
605	1861.996581
606	1861.666955
607	1861.333164
608	1861.12509
609	1860.898415
610	1859.860112
611	1859.686591
612	1859.034493
613	1858.809558
614	1858.48527
615	1858.277984
616	1858.039622
617	1857.695604
618	1857.148109
619	1856.963103
620	1856.712152
621	1856.465985
622	1856.330019
623	1855.456696
624	1855.18505
625	1854.92096
626	1854.454911
627	1854.151319
628	1853.761353
629	1853.609128
630	1853.165919
631	1852.954735
632	1852.798545
633	1852.164311
634	1851.870022
635	1851.473606
636	1851.137819
637	1850.145522
638	1849.952068
639	1849.656466
640	1848.870979
641	1848.710048
642	1848.519936
643	1848.262794
644	1847.944808
645	1847.626673
646	1847.487208
647	1847.215348
648	1846.888329
649	1846.537891
650	1846.205644
651	1846.098757
652	1845.399333
653	1844.957293
654	1844.689779
655	1844.095703
656	1843.803931
657	1843.159055
658	1842.621326
659	1842.316141
660	1842.133796
661	1841.597453
662	1841.196678
663	1840.364358
664	1840.227385
665	1840.022908
666	1839.839138
667	1839.155239
668	1838.892099
669	1838.7266
670	1838.265514
671	1837.7316
672	1837.096992
673	1836.604837
674	1836.306173
675	1836.041949
676	1835.594847
677	1835.317043
678	1833.726126
679	1833.468355
680	1832.623761
681	1832.252727
682	1832.099896
683	1831.759022
684	1831.633732
685	1830.707232
686	1829.946532
687	1829.121156
688	1828.392359
689	1828.013284
690	1827.365202
691	1826.639775
692	1826.259319
693	1826.002856
694	1825.463876
695	1822.718123
696	1822.546872
697	1822.368684
698	1822.203268
699	1821.676045
700	1821.318373
701	1821.099887
702	1820.905241
703	1820.757001
704	1820.611236
705	1820.475861
706	1820.34966
707	1819.935163
708	1819.693093
709	1819.574055
710	1819.316135
711	1819.038095
712	1818.653615
713	1817.79326
714	1817.505501
715	1817.121764
716	1816.926072
717	1816.79273
718	1816.468874
719	1816.28882
720	1816.078485
721	1815.748244
722	1815.435371
723	1815.252263
724	1814.973977
725	1814.544965
726	1813.502952
727	1812.963384
728	1812.623226
729	1812.385341
730	1811.184527
731	1811.038738
732	1810.906362
733	1810.384405
734	1810.256544
735	1809.966807
736	1809.856984
737	1809.534189
738	1809.399645
739	1809.251733
740	1808.932225
741	1808.856319
742	1808.504059
743	1808.348507
744	1808.184835
745	1807.96377
746	1807.629139
747	1807.466422
748	1806.88017
749	1806.652975
750	1806.454345
751	1806.201042
752	1806.064586
753	1805.970151
754	1805.722039
755	1805.606958
756	1805.455101
757	1805.190011
758	1804.931979
759	1804.776778
760	1803.938278
761	1803.131523
762	1803.028341
763	1802.764826
764	1802.653923
765	1802.562735
766	1802.33935
767	1802.014917
768	1801.694179
769	1801.602313
770	1801.319675
771	1801.069661
772	1800.727897
773	1800.053756
774	1799.586142
775	1799.394371
776	1798.728213
777	1798.586392
778	1798.354613
779	1797.232049
780	1797.082362
781	1796.572354
782	1796.423281
783	1796.249531
784	1795.766567
785	1795.096057
786	1794.990351
787	1794.834976
788	1792.534721
789	1791.738595
790	1791.47484
791	1791.332556
792	1791.020284
793	1790.760947
794	1790.647349
795	1790.449405
796	1790.229383
797	1789.943117
798	1789.604103
799	1789.355299
800	1788.940371
801	1788.832152
802	1788.738594
803	1788.589922
804	1788.377882
805	1788.034651
806	1787.756489
807	1787.485856
808	1787.094526
809	1786.833873
810	1786.690013
811	1786.60551
812	1786.334851
813	1785.975686
814	1785.861614
815	1784.848222
816	1784.28375
817	1783.675367
818	1783.436841
819	1782.88856
820	1782.653565
821	1782.080624
822	1781.932651
823	1781.718133
824	1781.655311
825	1780.85322
826	1780.419808
827	1780.192805
828	1779.770591
829	1779.223991
830	1778.805851
831	1778.664162
832	1778.308616
833	1777.495796
834	1777.277071
835	1776.978549
836	1776.274478
837	1776.132312
838	1776.031296
839	1775.329568
840	1775.241095
841	1774.939363
842	1774.817597
843	1774.676846
844	1774.393673
845	1774.180734
846	1774.112481
847	1773.640332
848	1773.454054
849	1773.188511
850	1773.022746
851	1772.937646
852	1772.793822
853	1772.193468
854	1772.093269
855	1771.700963
856	1771.010121
857	1770.703911
858	1770.570546
859	1770.408648
860	1769.741655
861	1769.07621
862	1768.675678
863	1768.58582
864	1768.046741
865	1767.761053
866	1767.585168
867	1767.284587
868	1766.869052
869	1766.76015
870	1766.635338
871	1766.518071
872	1766.309009
873	1766.149318
874	1766.012036
875	1765.881704
876	1765.620884
877	1765.141153
878	1765.037988
879	1764.937928
880	1763.231493
881	1762.543631
882	1762.431078
883	1761.859277
884	1761.653894
885	1761.503767
886	1761.163397
887	1760.940337
888	1760.773404
889	1760.582211
890	1760.49277
891	1760.403574
892	1760.24737
893	1759.932157
894	1759.780322
895	1759.446168
896	1759.131057
897	1758.82645
898	1758.215628
899	1758.111237
900	1757.987395
901	1757.561217
902	1757.253724
903	1756.771805
904	1756.516977
905	1756.007322
906	1755.40445
907	1755.211693
908	1755.121906
909	1754.83892
910	1754.550804
911	1754.396703
912	1754.292758
913	1754.023052
914	1753.833751
915	1753.056228
916	1752.982643
917	1752.728274
918	1752.25814
919	1752.106796
920	1752.034809
921	1751.890937
922	1751.477391
923	1751.364582
924	1751.196627
925	1750.938941
926	1750.870024
927	1750.584791
928	1750.258742
929	1749.994903
930	1749.786687
931	1749.276323
932	1749.171551
933	1748.977154
934	1748.881037
935	1748.697881
936	1748.482682
937	1748.381473
938	1748.243434
939	1748.128123
940	1747.850627
941	1747.699477
942	1747.280667
943	1747.0218
944	1746.19513
945	1745.990916
946	1745.889376
947	1745.692358
948	1745.435659
949	1745.21228
950	1745.030703
951	1744.672729
952	1744.563206
953	1744.188911
954	1744.055097
955	1743.682616
956	1743.578215
957	1743.23541
958	1742.884471
959	1742.465182
960	1742.266325
961	1742.111418
962	1742.002629
963	1741.895212
964	1741.728723
965	1741.496007
966	1741.183615
967	1740.997739
968	1740.827303
969	1740.603559
970	1740.486347
971	1740.352855
972	1740.175269
973	1740.010087
974	1739.93772
975	1739.796201
976	1739.635251
977	1739.483695
978	1739.370804
979	1739.256101
980	1739.170448
981	1738.944144
982	1738.849091
983	1738.69841
984	1738.569692
985	1738.497948
986	1738.388717
987	1737.141777
988	1736.859432
989	1736.546354
990	1736.237959
991	1736.169782
992	1735.753499
993	1735.590485
994	1735.090759
995	1734.68401
996	1734.558423
997	1734.264986
998	1734.196685
999	1734.0507
